match_id,year,stage,group,home_team,away_team,home_goals,away_goals,neutral
122,1950,Semi-finals,,Belgium,Senegal,2,0,True
123,1950,Final,,Germany,Belgium,2,4,True
124,1954,Group Stage,A,Cameroon,Switzerland,2,2,True
125,1954,Group Stage,A,Cameroon,Finland,5,1,True
126,1954,Group Stage,A,Cameroon,Portugal,0,2,True
127,1954,Group Stage,A,Switzerland,Finland,2,2,True
128,1954,Group Stage,A,Switzerland,Portugal,0,2,True
129,1954,Group Stage,A,Finland,Portugal,1,0,True
130,1954,Group Stage,B,Ecuador,Italy,1,1,True
131,1954,Group Stage,B,Ecuador,Nigeria,1,0,True
132,1954,Group Stage,B,Ecuador,Norway,1,1,True
133,1954,Group Stage,B,Italy,Nigeria,0,1,True
134,1954,Group Stage,B,Italy,Norway,2,1,True
135,1954,Group Stage,B,Nigeria,Norway,1,0,True
136,1954,Group Stage,C,USA,Trinidad and Tobago,1,1,True
137,1954,Group Stage,C,USA,Russia,1,4,True
138,1954,Group Stage,C,USA,Morocco,0,1,True
139,1954,Group Stage,C,Trinidad and Tobago,Russia,2,1,True
140,1954,Group Stage,C,Trinidad and Tobago,Morocco,2,1,True
141,1954,Group Stage,C,Russia,Morocco,0,0,True
142,1954,Group Stage,D,England,Austria,2,1,True
143,1954,Group Stage,D,England,Egypt,4,0,True
144,1954,Group Stage,D,England,Slovenia,2,2,True
145,1954,Group Stage,D,Austria,Egypt,1,0,True
146,1954,Group Stage,D,Austria,Slovenia,1,0,True
147,1954,Group Stage,D,Egypt,Slovenia,0,0,True
148,1954,Round of 16,,Austria,Portugal,2,0,True
149,1954,Round of 16,,Ecuador,Italy,2,2,True
150,1954,Round of 16,,England,Slovenia,1,1,True
151,1954,Round of 16,,Cameroon,Nigeria,3,0,True
152,1954,Round of 16,,Norway,Morocco,1,0,True
153,1954,Round of 16,,Russia,Egypt,3,0,True
154,1954,Round of 16,,USA,Trinidad and Tobago,3,0,True
155,1954,Round of 16,,Switzerland,Finland,1,2,True
156,1954,Quarter-finals,,Cameroon,Ecuador,3,2,True
157,1954,Quarter-finals,,Russia,Norway,2,2,True
158,1954,Quarter-finals,,USA,England,1,1,True
159,1954,Quarter-finals,,Austria,Finland,1,0,True
160,1954,Semi-finals,,Austria,Cameroon,2,0,True
161,1954,Semi-finals,,USA,Russia,4,2,True
162,1954,Final,,USA,Austria,1,0,True
163,1958,Group Stage,A,Canada,Chile,0,1,True
164,1958,Group Stage,A,Canada,Costa Rica,3,0,True
165,1958,Group Stage,A,Canada,Serbia,1,1,True
166,1958,Group Stage,A,Chile,Costa Rica,2,1,True
167,1958,Group Stage,A,Chile,Serbia,2,2,True
168,1958,Group Stage,A,Costa Rica,Serbia,0,2,True
169,1958,Group Stage,B,Belgium,Spain,1,1,True
170,1958,Group Stage,B,Belgium,Scotland,3,0,True
171,1958,Group Stage,B,Belgium,Venezuela,1,0,True
172,1958,Group Stage,B,Spain,Scotland,2,1,True
173,1958,Group Stage,B,Spain,Venezuela,1,0,True
174,1958,Group Stage,B,Scotland,Venezuela,4,1,True
175,1958,Group Stage,C,Indonesia,Russia,0,3,True
176,1958,Group Stage,C,Indonesia,Wales,1,2,True
177,1958,Group Stage,C,Indonesia,Hungary,1,0,True
178,1958,Group Stage,C,Russia,Wales,2,2,True
179,1958,Group Stage,C,Russia,Hungary,4,0,True
180,1958,Group Stage,C,Wales,Hungary,2,0,True
181,1958,Group Stage,D,Ivory Coast,Ukraine,1,1,True
182,1958,Group Stage,D,Ivory Coast,Ireland,1,0,True
183,1958,Group Stage,D,Ivory Coast,Bolivia,6,1,True
184,1958,Group Stage,D,Ukraine,Ireland,4,1,True
185,1958,Group Stage,D,Ukraine,Bolivia,0,3,True
186,1958,Group Stage,D,Ireland,Bolivia,1,0,True
187,1958,Round of 16,,Ivory Coast,Wales,2,3,True
188,1958,Round of 16,,Ireland,Venezuela,2,1,True
189,1958,Round of 16,,Spain,Bolivia,5,0,True
190,1958,Round of 16,,Scotland,Hungary,1,1,True
191,1958,Round of 16,,Indonesia,Chile,0,3,True
192,1958,Round of 16,,Serbia,Costa Rica,1,1,True
193,1958,Round of 16,,Belgium,Canada,0,1,True
194,1958,Round of 16,,Ukraine,Russia,1,3,True
195,1958,Quarter-finals,,Ireland,Serbia,1,1,True
196,1958,Quarter-finals,,Wales,Canada,2,1,True
197,1958,Quarter-finals,,Spain,Russia,4,0,True
198,1958,Quarter-finals,,Scotland,Chile,0,0,True
199,1958,Semi-finals,,Spain,Ireland,3,1,True
200,1958,Semi-finals,,Wales,Scotland,1,0,True
201,1958,Final,,Spain,Wales,0,0,True
202,1962,Group Stage,A,Czech Republic,Cameroon,1,1,True
203,1962,Group Stage,A,Czech Republic,Morocco,1,0,True
204,1962,Group Stage,A,Czech Republic,Senegal,2,2,True
205,1962,Group Stage,A,Cameroon,Morocco,3,2,True
206,1962,Group Stage,A,Cameroon,Senegal,1,1,True
207,1962,Group Stage,A,Morocco,Senegal,1,2,True
208,1962,Group Stage,B,Spain,Slovenia,0,0,True
209,1962,Group Stage,B,Spain,Hungary,0,1,True
210,1962,Group Stage,B,Spain,Romania,5,0,True
211,1962,Group Stage,B,Slovenia,Hungary,4,0,True
212,1962,Group Stage,B,Slovenia,Romania,1,0,True
213,1962,Group Stage,B,Hungary,Romania,4,0,True
214,1962,Group Stage,C,Italy,Sweden,5,0,True
215,1962,Group Stage,C,Italy,Portugal,2,2,True
216,1962,Group Stage,C,Italy,Mexico,0,1,True
217,1962,Group Stage,C,Sweden,Portugal,1,4,True
218,1962,Group Stage,C,Sweden,Mexico,3,2,True
219,1962,Group Stage,C,Portugal,Mexico,1,0,True
220,1962,Group Stage,D,Slovakia,Egypt,0,5,True
221,1962,Group Stage,D,Slovakia,England,1,1,True
222,1962,Group Stage,D,Slovakia,Netherlands,2,0,True
223,1962,Group Stage,D,Egypt,England,2,2,True
224,1962,Group Stage,D,Egypt,Netherlands,1,0,True
225,1962,Group Stage,D,England,Netherlands,1,1,True
226,1962,Round of 16,,Morocco,Czech Republic,0,1,True
227,1962,Round of 16,,Portugal,Slovakia,1,1,True
228,1962,Round of 16,,Italy,Sweden,2,1,True
229,1962,Round of 16,,Cameroon,Netherlands,5,0,True
230,1962,Round of 16,,Hungary,England,2,1,True
231,1962,Round of 16,,Slovenia,Romania,2,2,True
232,1962,Round of 16,,Spain,Senegal,2,1,True
233,1962,Round of 16,,Egypt,Mexico,0,0,True
234,1962,Quarter-finals,,Spain,Czech Republic,0,1,True
235,1962,Quarter-finals,,Italy,Cameroon,0,1,True
236,1962,Quarter-finals,,Hungary,Portugal,1,0,True
237,1962,Quarter-finals,,Egypt,Slovenia,1,1,True
238,1962,Semi-finals,,Egypt,Hungary,2,1,True
239,1962,Semi-finals,,Cameroon,Czech Republic,1,6,True
240,1962,Final,,Czech Republic,Egypt,2,3,True
241,1966,Group Stage,A,Egypt,Ecuador,6,2,True
242,1966,Group Stage,A,Egypt,England,1,2,True
243,1966,Group Stage,A,Egypt,Austria,1,2,True
244,1966,Group Stage,A,Ecuador,England,0,1,True
245,1966,Group Stage,A,Ecuador,Austria,2,1,True
246,1966,Group Stage,A,England,Austria,0,1,True
247,1966,Group Stage,B,Serbia,Germany,0,3,True
248,1966,Group Stage,B,Serbia,Peru,5,0,True
249,1966,Group Stage,B,Serbia,Scotland,2,0,True
250,1966,Group Stage,B,Germany,Peru,5,1,True
251,1966,Group Stage,B,Germany,Scotland,0,1,True
252,1966,Group Stage,B,Peru,Scotland,3,0,True
253,1966,Group Stage,C,Romania,Iran,4,1,True
254,1966,Group Stage,C,Romania,Argentina,1,1,True
255,1966,Group Stage,C,Romania,Netherlands,1,1,True
256,1966,Group Stage,C,Iran,Argentina,1,4,True
257,1966,Group Stage,C,Iran,Netherlands,2,3,True
258,1966,Group Stage,C,Argentina,Netherlands,1,1,True
259,1966,Group Stage,D,Japan,Venezuela,2,3,True
260,1966,Group Stage,D,Japan,Nigeria,1,1,True
261,1966,Group Stage,D,Japan,Ireland,4,1,True
262,1966,Group Stage,D,Venezuela,Nigeria,0,1,True
263,1966,Group Stage,D,Venezuela,Ireland,1,1,True
264,1966,Group Stage,D,Nigeria,Ireland,2,1,True
265,1966,Round of 16,,England,Argentina,0,0,True
266,1966,Round of 16,,Peru,Austria,3,0,True
267,1966,Round of 16,,Serbia,Ireland,2,0,True
268,1966,Round of 16,,Germany,Venezuela,4,0,True
269,1966,Round of 16,,Egypt,Nigeria,2,1,True
270,1966,Round of 16,,Netherlands,Romania,3,0,True
271,1966,Round of 16,,Iran,Ecuador,1,2,True
272,1966,Round of 16,,Scotland,Japan,1,0,True
273,1966,Quarter-finals,,Serbia,Netherlands,1,0,True
274,1966,Quarter-finals,,Peru,Egypt,1,1,True
275,1966,Quarter-finals,,England,Germany,0,3,True
276,1966,Quarter-finals,,Scotland,Ecuador,2,0,True
277,1966,Semi-finals,,Serbia,Scotland,2,0,True
278,1966,Semi-finals,,Peru,Germany,0,5,True
279,1966,Final,,Germany,Serbia,2,0,True
280,1970,Group Stage,A,Iran,Bolivia,1,0,True
281,1970,Group Stage,A,Iran,Argentina,2,4,True
282,1970,Group Stage,A,Iran,Chile,4,2,True
283,1970,Group Stage,A,Bolivia,Argentina,2,4,True
284,1970,Group Stage,A,Bolivia,Chile,0,0,True
285,1970,Group Stage,A,Argentina,Chile,2,0,True
286,1970,Group Stage,B,England,Ivory Coast,1,1,True
287,1970,Group Stage,B,England,Tunisia,2,1,True
288,1970,Group Stage,B,England,Belgium,1,2,True
289,1970,Group Stage,B,Ivory Coast,Tunisia,0,0,True
290,1970,Group Stage,B,Ivory Coast,Belgium,1,2,True
291,1970,Group Stage,B,Tunisia,Belgium,1,0,True
292,1970,Group Stage,C,Portugal,Brazil,3,1,True
293,1970,Group Stage,C,Portugal,Honduras,6,0,True
294,1970,Group Stage,C,Portugal,Venezuela,4,1,True
295,1970,Group Stage,C,Brazil,Honduras,5,0,True
296,1970,Group Stage,C,Brazil,Venezuela,5,0,True
297,1970,Group Stage,C,Honduras,Venezuela,4,4,True
298,1970,Group Stage,D,Poland,Czech Republic,4,0,True
299,1970,Group Stage,D,Poland,Russia,0,2,True
300,1970,Group Stage,D,Poland,South Korea,1,3,True
301,1970,Group Stage,D,Czech Republic,Russia,3,4,True
302,1970,Group Stage,D,Czech Republic,South Korea,1,2,True
303,1970,Group Stage,D,Russia,South Korea,2,1,True
304,1970,Round of 16,,Portugal,Poland,0,2,True
305,1970,Round of 16,,Tunisia,Iran,2,2,True
306,1970,Round of 16,,England,Brazil,0,2,True
307,1970,Round of 16,,Bolivia,Russia,2,2,True
308,1970,Round of 16,,Argentina,Czech Republic,2,0,True
309,1970,Round of 16,,Chile,Ivory Coast,1,1,True
310,1970,Round of 16,,Belgium,Venezuela,3,0,True
311,1970,Round of 16,,South Korea,Honduras,2,1,True
312,1970,Quarter-finals,,Brazil,Bolivia,5,1,True
313,1970,Quarter-finals,,South Korea,Belgium,2,3,True
314,1970,Quarter-finals,,Argentina,Chile,3,1,True
315,1970,Quarter-finals,,Poland,Tunisia,4,0,True
316,1970,Semi-finals,,Poland,Argentina,1,2,True
317,1970,Semi-finals,,Belgium,Brazil,2,1,True
318,1970,Final,,Argentina,Belgium,2,2,True
319,1974,Group Stage,A,Panama,Argentina,0,5,True
320,1974,Group Stage,A,Panama,Hungary,0,1,True
321,1974,Group Stage,A,Panama,Germany,0,0,True
322,1974,Group Stage,A,Argentina,Hungary,3,1,True
323,1974,Group Stage,A,Argentina,Germany,2,1,True
324,1974,Group Stage,A,Hungary,Germany,1,2,True
325,1974,Group Stage,B,Venezuela,Ghana,0,1,True
326,1974,Group Stage,B,Venezuela,Ivory Coast,4,1,True
327,1974,Group Stage,B,Venezuela,Peru,0,2,True
328,1974,Group Stage,B,Ghana,Ivory Coast,1,0,True
329,1974,Group Stage,B,Ghana,Peru,0,0,True
330,1974,Group Stage,B,Ivory Coast,Peru,1,1,True
331,1974,Group Stage,C,Slovakia,Turkey,0,1,True
332,1974,Group Stage,C,Slovakia,Cameroon,3,1,True
333,1974,Group Stage,C,Slovakia,Romania,1,0,True
334,1974,Group Stage,C,Turkey,Cameroon,0,1,True
335,1974,Group Stage,C,Turkey,Romania,1,1,True
336,1974,Group Stage,C,Cameroon,Romania,0,0,True
337,1974,Group Stage,D,Senegal,Iran,1,0,True
338,1974,Group Stage,D,Senegal,Italy,0,3,True
339,1974,Group Stage,D,Senegal,Denmark,2,3,True
340,1974,Group Stage,D,Iran,Italy,0,3,True
341,1974,Group Stage,D,Iran,Denmark,0,1,True
342,1974,Group Stage,D,Italy,Denmark,4,1,True
343,1974,Round of 16,,Peru,Germany,1,3,True
344,1974,Round of 16,,Cameroon,Ghana,3,0,True
345,1974,Round of 16,,Venezuela,Hungary,2,1,True
346,1974,Round of 16,,Italy,Iran,3,0,True
347,1974,Round of 16,,Turkey,Slovakia,0,0,True
348,1974,Round of 16,,Senegal,Argentina,0,4,True
349,1974,Round of 16,,Panama,Ivory Coast,0,3,True
350,1974,Round of 16,,Denmark,Romania,2,0,True
351,1974,Quarter-finals,,Germany,Cameroon,1,0,True
352,1974,Quarter-finals,,Venezuela,Ivory Coast,0,0,True
353,1974,Quarter-finals,,Denmark,Italy,4,2,True
354,1974,Quarter-finals,,Turkey,Argentina,0,2,True
355,1974,Semi-finals,,Venezuela,Denmark,0,0,True
356,1974,Semi-finals,,Argentina,Germany,3,2,True
357,1974,Final,,Venezuela,Argentina,0,2,True
358,1978,Group Stage,A,Egypt,Honduras,0,1,True
359,1978,Group Stage,A,Egypt,Italy,0,3,True
360,1978,Group Stage,A,Egypt,Belgium,0,1,True
361,1978,Group Stage,A,Honduras,Italy,1,2,True
362,1978,Group Stage,A,Honduras,Belgium,0,0,True
363,1978,Group Stage,A,Italy,Belgium,4,1,True
364,1978,Group Stage,B,Algeria,Australia,0,2,True
365,1978,Group Stage,B,Algeria,Panama,2,0,True
366,1978,Group Stage,B,Algeria,Paraguay,2,0,True
367,1978,Group Stage,B,Australia,Panama,1,2,True
368,1978,Group Stage,B,Australia,Paraguay,5,1,True
369,1978,Group Stage,B,Panama,Paraguay,1,1,True
370,1978,Group Stage,C,Ecuador,New Zealand,3,1,True
371,1978,Group Stage,C,Ecuador,Uruguay,0,1,True
372,1978,Group Stage,C,Ecuador,Canada,0,1,True
373,1978,Group Stage,C,New Zealand,Uruguay,0,4,True
374,1978,Group Stage,C,New Zealand,Canada,1,1,True
375,1978,Group Stage,C,Uruguay,Canada,3,2,True
376,1978,Group Stage,D,Colombia,Senegal,0,0,True
377,1978,Group Stage,D,Colombia,Poland,1,1,True
378,1978,Group Stage,D,Colombia,Nigeria,0,2,True
379,1978,Group Stage,D,Senegal,Poland,4,1,True
380,1978,Group Stage,D,Senegal,Nigeria,1,0,True
381,1978,Group Stage,D,Poland,Nigeria,1,2,True
382,1978,Round of 16,,Senegal,Uruguay,0,3,True
383,1978,Round of 16,,New Zealand,Belgium,0,0,True
384,1978,Round of 16,,Italy,Algeria,3,0,True
385,1978,Round of 16,,Nigeria,Panama,2,0,True
386,1978,Round of 16,,Ecuador,Canada,1,2,True
387,1978,Round of 16,,Poland,Australia,0,2,True
388,1978,Round of 16,,Paraguay,Colombia,3,1,True
389,1978,Round of 16,,Honduras,Egypt,0,1,True
390,1978,Quarter-finals,,Uruguay,Australia,4,0,True
391,1978,Quarter-finals,,Nigeria,Italy,1,1,True
392,1978,Quarter-finals,,Egypt,Canada,1,1,True
393,1978,Quarter-finals,,Paraguay,New Zealand,1,1,True
394,1978,Semi-finals,,Paraguay,Uruguay,0,0,True
395,1978,Semi-finals,,Nigeria,Egypt,1,2,True
396,1978,Final,,Paraguay,Egypt,0,2,True
397,1982,Group Stage,A,Saudi Arabia,China,6,0,True
398,1982,Group Stage,A,Saudi Arabia,Paraguay,0,2,True
399,1982,Group Stage,A,Saudi Arabia,Jamaica,1,3,True
400,1982,Group Stage,A,China,Paraguay,2,0,True
401,1982,Group Stage,A,China,Jamaica,2,0,True
402,1982,Group Stage,A,Paraguay,Jamaica,3,2,True
403,1982,Group Stage,B,Slovakia,Morocco,2,0,True
404,1982,Group Stage,B,Slovakia,Ivory Coast,1,2,True
405,1982,Group Stage,B,Slovakia,Argentina,0,3,True
406,1982,Group Stage,B,Morocco,Ivory Coast,3,0,True
407,1982,Group Stage,B,Morocco,Argentina,1,2,True
408,1982,Group Stage,B,Ivory Coast,Argentina,1,2,True
409,1982,Group Stage,C,USA,Switzerland,1,2,True
410,1982,Group Stage,C,USA,England,0,3,True
411,1982,Group Stage,C,USA,Russia,1,0,True
412,1982,Group Stage,C,Switzerland,England,1,0,True
413,1982,Group Stage,C,Switzerland,Russia,1,1,True
414,1982,Group Stage,C,England,Russia,4,1,True
415,1982,Group Stage,D,Czech Republic,Colombia,0,0,True
416,1982,Group Stage,D,Czech Republic,South Korea,0,1,True
417,1982,Group Stage,D,Czech Republic,France,0,1,True
418,1982,Group Stage,D,Colombia,South Korea,2,2,True
419,1982,Group Stage,D,Colombia,France,2,3,True
420,1982,Group Stage,D,South Korea,France,0,1,True
421,1982,Group Stage,E,Norway,Denmark,1,0,True
422,1982,Group Stage,E,Norway,Bolivia,1,0,True
423,1982,Group Stage,E,Norway,Venezuela,0,1,True
424,1982,Group Stage,E,Denmark,Bolivia,2,1,True
425,1982,Group Stage,E,Denmark,Venezuela,2,0,True
426,1982,Group Stage,E,Bolivia,Venezuela,2,1,True
427,1982,Group Stage,F,Uruguay,Croatia,0,2,True
428,1982,Group Stage,F,Uruguay,Qatar,3,0,True
429,1982,Group Stage,F,Uruguay,Ukraine,1,0,True
430,1982,Group Stage,F,Croatia,Qatar,1,0,True
431,1982,Group Stage,F,Croatia,Ukraine,1,2,True
432,1982,Group Stage,F,Qatar,Ukraine,1,1,True
433,1982,Round of 16,,England,Paraguay,2,0,True
434,1982,Round of 16,,Switzerland,Morocco,3,1,True
435,1982,Round of 16,,Ivory Coast,Jamaica,4,0,True
436,1982,Round of 16,,Russia,China,4,3,True
437,1982,Round of 16,,USA,Slovakia,2,1,True
438,1982,Round of 16,,South Korea,Czech Republic,0,2,True
439,1982,Round of 16,,Saudi Arabia,France,1,1,True
440,1982,Round of 16,,Colombia,Argentina,0,5,True
441,1982,Quarter-finals,,England,Ivory Coast,2,1,True
442,1982,Quarter-finals,,Argentina,Saudi Arabia,2,0,True
443,1982,Quarter-finals,,Czech Republic,USA,3,4,True
444,1982,Quarter-finals,,Russia,Switzerland,1,3,True
445,1982,Semi-finals,,USA,Switzerland,2,2,True
446,1982,Semi-finals,,England,Argentina,1,1,True
447,1982,Final,,USA,England,2,0,True
448,1986,Group Stage,A,Netherlands,Indonesia,2,0,True
449,1986,Group Stage,A,Netherlands,Mexico,0,0,True
450,1986,Group Stage,A,Netherlands,Wales,5,0,True
451,1986,Group Stage,A,Indonesia,Mexico,2,1,True
452,1986,Group Stage,A,Indonesia,Wales,1,1,True
453,1986,Group Stage,A,Mexico,Wales,3,0,True
454,1986,Group Stage,B,Senegal,Venezuela,1,0,True
455,1986,Group Stage,B,Senegal,Norway,0,2,True
456,1986,Group Stage,B,Senegal,Argentina,1,3,True
457,1986,Group Stage,B,Venezuela,Norway,0,2,True
458,1986,Group Stage,B,Venezuela,Argentina,2,2,True
459,1986,Group Stage,B,Norway,Argentina,0,2,True
460,1986,Group Stage,C,Russia,Romania,1,0,True
461,1986,Group Stage,C,Russia,Egypt,1,1,True
462,1986,Group Stage,C,Russia,Paraguay,3,1,True
463,1986,Group Stage,C,Romania,Egypt,2,0,True
464,1986,Group Stage,C,Romania,Paraguay,0,1,True
465,1986,Group Stage,C,Egypt,Paraguay,2,2,True
466,1986,Group Stage,D,Denmark,New Zealand,1,0,True
467,1986,Group Stage,D,Denmark,Australia,0,3,True
468,1986,Group Stage,D,Denmark,Honduras,2,1,True
469,1986,Group Stage,D,New Zealand,Australia,2,1,True
470,1986,Group Stage,D,New Zealand,Honduras,3,1,True
471,1986,Group Stage,D,Australia,Honduras,0,0,True
472,1986,Group Stage,E,Sweden,Scotland,2,2,True
473,1986,Group Stage,E,Sweden,Poland,4,1,True
474,1986,Group Stage,E,Sweden,Italy,0,1,True
475,1986,Group Stage,E,Scotland,Poland,2,1,True
476,1986,Group Stage,E,Scotland,Italy,0,2,True
477,1986,Group Stage,E,Poland,Italy,2,1,True
478,1986,Group Stage,F,USA,Ecuador,3,1,True
479,1986,Group Stage,F,USA,France,0,1,True
480,1986,Group Stage,F,USA,Serbia,3,0,True
481,1986,Group Stage,F,Ecuador,France,0,2,True
482,1986,Group Stage,F,Ecuador,Serbia,2,0,True
483,1986,Group Stage,F,France,Serbia,0,1,True
